severity,same_phrase,phrase
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,A terrible fall in hair
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After a breakup  I feel something strange in me.
0,A,After an hard working day I have foot ache
0,A,After an hard working day I have foot ache
0,A,After an hard working day I have foot ache
0,A,After an hard working day I have foot ache
0,A,After an hard working day I have foot ache
0,A,After an hard working day I have foot ache
0,A,After an hard working day I have foot ache
0,A,After an hard working day I have foot ache
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
1,B,After eating  I have burning sensation inside of me.
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"after playing football, i have muscle pain with my both legs."
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
0,A,"After playing tennis,  I had a powerful sensation close to my neck"
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,After walking I have some pain under my foot
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All my body is in a bad case and i need a good treatment
1,B,All of a sudden I felt dizzy when I stood up.
1,B,All of a sudden I felt dizzy when I stood up.
1,B,All of a sudden I felt dizzy when I stood up.
1,B,All of a sudden I felt dizzy when I stood up.
1,B,All of a sudden I felt dizzy when I stood up.
1,B,All of a sudden I felt dizzy when I stood up.
1,B,All of a sudden I felt dizzy when I stood up.
1,B,All of a sudden I felt dizzy when I stood up.
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,"Annoyance starts suddenly, often after an injury or exercise."
1,B,Anytime I play tennis I feel a shoulder pain
1,B,Anytime I play tennis I feel a shoulder pain
1,B,Anytime I play tennis I feel a shoulder pain
1,B,Anytime I play tennis I feel a shoulder pain
1,B,Anytime I play tennis I feel a shoulder pain
1,B,Anytime I play tennis I feel a shoulder pain
1,B,"At first it feels really numb, but then a thousand needles start to prick through my foot."
1,B,"At first it feels really numb, but then a thousand needles start to prick through my foot."
1,B,"At first it feels really numb, but then a thousand needles start to prick through my foot."
1,B,"At first it feels really numb, but then a thousand needles start to prick through my foot."
1,B,"At first it feels really numb, but then a thousand needles start to prick through my foot."
1,B,"can't do any exercise, i feel weak"
1,B,"can't do any exercise, i feel weak"
1,B,"can't do any exercise, i feel weak"
1,B,"can't do any exercise, i feel weak"
1,B,"can't do any exercise, i feel weak"
1,B,"can't do any exercise, i feel weak"
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
0,A,Can't keep focus
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bone disease at the level of the doubles of the lower Estremidades
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic bowel Pain
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,Chronic disease of hair follicles and sebaceous glands
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,chronic disease of hair follicles and sebaceous glands.
1,B,cramps along the whole abdomen
1,B,cramps along the whole abdomen
1,B,cramps along the whole abdomen
1,B,cramps along the whole abdomen
1,B,cramps along the whole abdomen
1,B,cramps along the whole abdomen
1,B,cramps along the whole abdomen
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
1,B,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.
0,A,Don't cry
1,B,dr. I feel a strange and powerful pain inside my rib cage
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,"Even if the temperature is high in the house,  my body is always cold"
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
1,B,Even though I'm an adult my face keeps breaking out in pimples.
